Text_ID,Product_Type,processed_Product_Description,Sentiment
3057,9,web guide io android apps today mention 10 link sxsw,2
6254,9,rt mention line ipad 2 longer today yesterday sxsw getting line today fun,2
8212,9,crazy apple opening temporary store austin tomorrow handle rabid sxsw eye pad seeker,2
4422,9,lesson google one pas digital environment user want purchase across every platform one tool sxsw elonsxsw,2
5526,9,rt mention panel quot mom ipad designing boomer quot sxsw,2
6064,6,rt mention think effing hubby line ipad someone point towards wife number 2 sxswi sxsw,1
7713,9,quot android user iphone user use option menu contextual menu quot mention sxsw,2
2975,9,wow rt mention interrupt regularly scheduled sxsw geek programming big news link google circle,3
818,9,google launch new social network called circle possibly today link link sxsw,2
1318,9,mention welcome enjoy sxsw ride anywhere austin 10 dwnld groundlink app link booth 437,2
5454,9,rt mention apple plan keep austin wired opening apple store sxsw link,2
1618,7,yeay rt mention new ubersocial iphone app store includes uberguide sxsw sponsored masha link,3
3902,9,know sxsw season 10 app update whenever open iphone app store,2
6513,9,rt mention rt mention arriving u sxsw looking microsim data iphone recommendation mention,2
728,9,mention rumor apple opening temporary store downtown austin sxsw ipad 2 launch link,2
7667,2,horrible repressed memory apple spinning beach ball coming back progressbar talk sxsw,1
7957,9,mention saw man drop iphone gutter last year sxsw,2
5252,9,rt mention social important google screw big launch circus link via mention sxsw,2
6409,2,rt mention second day business apple store appears trending sxsw vb mention apple store sxsw pic link,3
7738,9,brace audio onslaught sxsw enjoy free music sampler itunes link featuredartists,2
2341,8,sxsw enchantment mention quot sell dream steve job say iphone 188 amp made ppl suicidal chinese,1
618,9,thanks heathcare digital mention publishing news new medical apps showcased sxsw link sxswh,2
392,9,tomorrow charles chen speaking android chromeos access mention google booth exhibit hall 3 mention 1pm sxsw,2
604,6,ipad 2 hand awesome dude gave cutsies 3 hour line austin apple sxsw winning,3
7675,2,adaptive retail apple open shop sxsw skillfully done cupertino link,3
4017,7,really liking sxsw iphone app thanks making event app appears work well,3
6821,9,rt mention tweet register exclusive pass event party ipad 2 sxsw quot give cont link,2
3787,9,rt mention rt mention traveling sxsw ipad 1,2
2673,6,win free ipad 2 sxsw rt awesome tech right,3
1338,3,ouch google v bing mention respect bing guy invited fill third chair sxsw,3
5571,9,rt mention best thing heard wknd sxsw quot gave ipad 2 money japan relief need ipad quot,2
541,8,austin getting full sxsw underway tell iphone intermittent brick crowded,1
3089,9,sxsw tweet android user attendong sxsw please report scene bannka app link,2
5544,9,rt mention barton hollow free song download amp featured album mention mention 2011 featured mix link itunes sxsw,2
5023,3,sxsw recommendation engine session fantastic thanks google pandora youtube stumbledupon,3
2407,9,couple evo iphone video sxsw link,2
4793,9,sxsw mention party mention lustre pearl bar team android sxsw mention mention link,2
6340,9,rt mention need late night snack mention discovered filling option sxswi recap day 3 link sxsw yum,2
4733,9,apple plan keep austin wired opening apple store sxsw link,2
8861,9,mention sxsw ipad talk along line ipad talk 360idev basically different content,2
863,9,n33 love town link code valid infektd sxsw necro,2
9016,9,smoked way much yesterday hahaha austin wakenbake painting android party tonight sxsw androidsxsw link,2
1367,9,n7 time always u link code valid infektd sxsw necro,2
4609,9,like seeing mention applying technology art project sxsw,2
5620,8,mention claim android phone everywhere last year sxsw dude io android ratio like iphone 4 everywhere,3
516,7,hitlantis ipad cool song explorer app sxsw musicviz,3
3798,9,rt mention woman plane next nook blackberry curve android ipad purse sxsw,2
4313,9,true rt mention evidence sxsw might well call country united state apple sxswsa,2
8998,9,link guy kawasaki talk sxsw know stuff book internet apple sxsw,2
2851,0,sxsw need best android dev issue need solving quickly handsome reward love grab,3
6217,7,rt mention saw preview new mention ipad app awesome sxsw,3
5678,9,rt mention diller would product ipad one form factor today multichannel multi platform world sxsw ketchsx,2
3195,6,friend austin mention sxsw buffalo new ipad,3
6483,3,rt mention rt mention mention launch major new social network called circle possibly today link sxsw smm gt gt really google,1
5467,9,rt mention apple set temporary store sxsw sell new ipads test potential traffic link,2
7030,9,many good place rt mention racing around sxsw best fueling great local fare link,2
4344,2,mention might need go apple today think quot quot quot x quot quot w quot key worn sxsw,1
8132,7,great sxsw ipad app mention link,3
7608,9,able afford attend sxsw buy ipad today consider saving japan earthquake relief sayin fb,2
8418,9,enjoying sxsw california hollywood silicon valley meet nyc sunny austin cowboy boot ipad vibe sxswi,2
2223,9,marissa mayer google connect digital amp physical world mobile link sxsw,2
4820,9,heading mention pvhouse first 2 snacker tweet u amp find one popchicks win iphone 4 case sxsw,2
5429,9,rt mention apple opening store austin sxsw aapl link,2
3510,9,wanting buy ipad2 temporary apple store open austin sxsw link,2
1635,8,mention mention thanks love show u iphone via twitpic share love zazzlesxsw sxsw,3
6604,5,rt mention rt mention rt mention google launch major new social network called circle possibly today link sxsw cool,3
7417,2,apple store seems ipad2s sxsw,1
8060,9,25 indie song rock various artist sxsw featured artist link itunes,2
2491,2,packed many apple device alarm set see ya sxsw psyched meet finally many guy,3
7362,9,pen paper iphone amp ipad immediate use session medium analytics need hit sxsw wall,2
8075,9,discussing pubsubhubbub link fsw sxsw,2
2572,9,sound fantastic rt mention google party awesome sxsw,3
6936,9,rt mention google circle take facebook link circle sxsw,2
7798,3,google party photo booth fun sxsw link,3
3517,9,wonder many ipad2 apple sell sxsw link,2
3863,9,quantter launching iphone app soon participating launchrock comp sxsw link,2
7293,9,download free mention sampler band playing sxsw link,2
5603,9,rt mention check designing ipad interface new navigation schema sxsw link sxsw uxdes,2
577,9,mention google launch major new social network called circle possibly today link hnwsxsw,2
3929,8,keep new japan quake iphone sxsw nhk world tv live link,3
8747,6,need buy ipad2 austin sxsw sure need q austin apple store,3
3064,6,ipad success apple popup store austin apple sxsw link,3
1672,9,asked quot get ipad 2 quot earlier today far 3 people getting 2 thought sxsw sxswi,2
2094,9,line around austin apple store unbelievable sxsw technology junky,2
2000,9,building android io application got tool sxsw ballroom,2
1989,9,mention quot south quot baby adventure sxsw ipad fb link,2
8559,9,guy next carefully studying quot best party sxsw 11 quot spreadsheet made ipad ipad n00b,2
5370,9,rt mention special apple store opening 6th congress sxsw amp ipad 2 launch apple ipad2 sxsw fb,2
4385,2,restored apple made smart phone unleash hell sxsw,3
3712,9,moving fast rt mention seen two impressive line since sxsw one apple store amp mention party,2
4410,9,mike tyson appears sxsw promote game link seo sem game miketyson topnews,2
1285,8,def could use ipad sxsw today tweeting via iphone sorta pretty much sux,1
3075,9,first tweet plane feedback gogo registration via fb connect twitter paypal google integration pay sxsw,2
2740,9,sxsw come privacybootcamp startup mention mention google facebook acc 9abc starting sxswi,2
6159,6,rt mention ipad tablet etc aiding greater adoption mobile device screen size larger mobilefarm sxsw,3
2005,7,lonelyplanet austin iphone app free godsend map city without need 3g wifi sxsw,3
4920,9,download day lonely planet austin free limited time link iphone,2
1523,9,mention mention pop apple store austin still ipad2 stock lazyweb,2
4844,3,heading free happy hour semantic web austin mention fogo de chìáo sxsw,3
8512,7,like mention download jet iphone hilarious see learning new stuff sxsw,3
5681,9,rt mention domo io android got released mention domo tonchidot boom sxsw,2
6010,9,rt mention hey sxsw try early beta hitchery let u know think link,2
5441,9,rt mention apple like pay long gadget liked many closed system work pnid sxsw,2
6806,6,rt mention kick sxswi mention giving away ipad 2 visit fb page enter link sxsw,3
8433,3,yes google party glowing cup sxsw link,3
8404,2,mention thanks apple store sxsw retweet,3
6544,9,rt mention rt mention google launch major new social network called circle possibly today link sxsw,2
1768,9,sxsw 2011 novelty ipad news apps fade fast among digital delegate link,2
2789,5,google real time location data layer google earth give breathtaking visual data sxsw,3
8153,9,think sxsw taken upon make clear gen 1 iphone ai gon na cut anymore,1
2492,9,get ipad 2 discus sxsw,2
1927,7,9 essential apps sxsw beyond underwire link socialmedia iphone android,3
2439,9,would via mention apple opened store austin nerd mention sxsw get new ipads link cnet,2
4954,9,40 google map use mobile sxsw,2
7248,7,check great amp effective enviro app mention bin link iphone sxsw sxswi greatergood,3
2865,3,google prefers launch hyped new social feature meh bang via tc link sxsw,1
8315,9,free quot payment android platform quot webinar march 30th register today link sxsw,2
3182,9,register private beta win apple tv sxsw visit link detail,2
4801,7,hhaha mention intimidated iphone app developer meetup leave sxsw,3
4343,9,line might started bit slow easily wrapped around ipad sxsw gadget link,2
3630,9,mention know google developer day sxsw link austin sxsw mention,2
3229,9,whoa hang saw someone without iphone sxsw,2
8561,6,early purchase ipad 2 awesome sweepstakes giveaway game sxsw detail coming soon,3
8976,6,leaving bag home today traveling light ipad hand really need lug around impedimenta sxsw,3
4656,9,apple opening temp store 6th congress downtown austin ipad 2 release sxsw sxsw,2
5320,9,rt mention sxsw tradeshow floor engage interactive wall take part augmented reality 3d enter win ipad,2
8352,6,guy get tattooed company logo win ipad link sxsw,3
4280,9,google marissa mayer quot mobile phone cursor connects physical digital quot sxsw link,2
3926,9,q amp google mention amp bing mention ranking sxsw session mon link,2
3498,7,iphone android apps keep grooving sxsw link,3
3186,9,line ipad 2 sxsw link,2
383,7,nice find rsq mention link sxsw ipad app,3
7782,9,true rt mention best hungry sxsw tip mekong river great vietnamese link 6th till 11pm via mention,2
2650,9,google get social texas link chrismessina facebook google googlecircles sxsw twitter,2
8817,9,fsw sxsw wanted know spec parsing ajax link link,2
2505,9,happy pi day google launch circle pi day exist sxsw,2
8046,9,sxsw social hackathon session google bing webtrends chzbrgr going figure paul bolinsxsw,2
2757,9,look like may able fork cash new ipad2 sxsw link,2
1571,2,love mention sxsw quot apple come cool technology one ever heard go conference quot,3
6467,9,rt mention readwriteweb reporting google might launch new social network sxsw today link,2
3125,9,marissa meyer demoing google augmented reality sxsw link,2
729,9,mention rumor apple opening temporary store downtown austin sxsw ipad 2 launch,2
7363,9,win openbeta6 ipad mention sxsw panel link today mention 11 usguys cc mention dgtltribe sxswbuffalo,2
601,6,guy get tattoo sxsw could win free ipad2 link sxsw tattoo link allshare,2
163,5,left sxsw tradeshow demo mention google theatre ok get see presenter using,3
5019,9,come lady mention mention rt mention austin convention center mention showing iphone game sxsw,3
489,9,4sq see facebook google competition via mention checkins sxsw,2
4401,5,ahhh darn rt mention mention mention according mention google confirmed launching sxsw,1
8314,5,wow lt lt mention google launch major new social network called circle possibly today link,3
5460,9,rt mention apple selling ipad 2 sxsw california great building cult following link,2
472,2,even begin apple win sxsw link via mention,3
